LandWaterProtect,LandWaterManage,Livelihood,SpeciesManage,EducateAware,LawPolicy,WorkshopName,Justification,PARCA,TNC,EPA,ACJV,NBCI,Alabama,Florida,NorthCarolina,Virginia,Georgia,HUC12,HU_12_NAME,SUBREGION,BASIN,SUBBASIN,Shape_Length,Shape_Area
 ,Yes,Yes, , , ,Uwharrie Area,An important area for deciduous forest in the Pee Dee watershed that includes Uwharrie National Forest and State Game Land and extends south to include the Pee Dee National Wildlife Refuge.  Extends further south into South Carolina. Large area of deciduous forest types not represented elsewhere in the South Atlantic LCC.,Priority,Priority, ,Priority, , , ,Priority, , ,030401040203,Pee Dee River-Lake Tillery,Pee Dee,Upper Pee Dee,Upper Pee Dee,64732.61797037867,140148646.0625
 , , , , , ,,, ,Priority, , , , , ,Priority, , ,030401050305,Hamby Branch-Rocky River,Pee Dee,Upper Pee Dee,Rocky,48539.391912844156,51772942.5546875
 , , , , , ,,, ,Priority, ,Priority,Priority, , ,Priority, , ,030203020103,Cowhorn Swamp-New River,Neuse-Pamlico,Onslow Bay,New River,55166.341342193446,73909478.0546875
 , , , , , ,,,Priority,Priority, ,Priority,Priority, , ,Priority, , ,030300060202,Big Swamp,Cape Fear,Cape Fear,Black,75076.73439113592,131374942.7890625
 , , , , , ,,, , , , , , , ,Priority, , ,030501020504,Sulphur Branch-South Fork Catawba River,Edisto-Santee,Santee,South Fork Catawba,52015.81329869309,73444782.0625
Yes,Yes,Yes,Yes,Yes,Yes,Croatan Forest Management-Onslow Bight,"Diversity of rare reptiles with a risk of potential roadways coming through. Onslow Bight Area contains large swamps (Croatan National Forest and Holly Shelter Game lands), Longleaf pine (Lejeune, Croatan), and coastal habitat of Onslow Beach, New River, and Cape Lookout National Seashore. An important area for coastal lands and estuarine waters.  The associated marine environment is characterized with shoals/sand, which can be spawning/nursing grounds. This area is threatened by sea level rise and development. Existing protected lands on coast (TNC).",Priority,Priority, ,Priority,Priority, , ,Priority, , ,030203010402,Middle Newport River,Neuse-Pamlico,Onslow Bay,White Oak River,47741.42470132427,99545795.609375
Yes,Yes,Yes,Yes,Yes,Yes,Fort Brag,"This is an area of focus for several partners and has been identified as a region where there is potential to restore connected landscapes of over 100,000 acres of longleaf pine communities. Important sand hill habitat with unique species. Geological shoreline. Important area to provide connectivity and hosts longleaf pine habitat community.",Priority,Priority, ,Priority,Priority, , ,Priority, , ,030300040304,James Creek,Cape Fear,Cape Fear,Upper Cape Fear,49983.21786305904,88269241.2421875
Yes,Yes,Yes,Yes,Yes,Yes,Croatan Buffer-Onslow Bight,"Diversity of rare reptiles with a risk of potential roadways coming through. Diversity of rare reptiles with a risk of potential roadways coming through. Part of the An important area for coastal lands and estuarine waters.  The associated marine environment is characterized with shoals/sand, which can be spawning/nursing grounds. This area is threatened by sea level rise and development. Existing protected lands on coast (TNC). Part of the Albemarle-Pamlico Estuary, an estuary of National significance designated by congress. Important for estuarine, marine, and freshwater habitats and species. Alligator River / Roanoke River NWF corridor:  Area to allow for the migration of habitats and species to adapt to sea level rise impacts on the Roanoke peninsula.  An area identified under the Southeast Natural Resources Leadership Group (SENRLG) process.",Priority,Priority, ,Priority, , , ,Priority, , ,030203010403,Black Creek,Neuse-Pamlico,Onslow Bay,White Oak River,24733.09332843389,34562804.78125
 ,Yes, , ,Yes, ,Charlotte Water Supply/Upper Catawba,The area presents a rough estimate of the Charlotte water supply.  Additional GIS analysis is needed to refine this area, ,Priority,Priority, , , , ,Priority, , ,030501011402,Mountain Island Lake,Edisto-Santee,Santee,Upper Catawba,71069.18308342888,117008632.09375
 , , , , , ,,, , , , , , , ,Priority, , ,030401050405,Lower Big Bear Creek,Pee Dee,Upper Pee Dee,Rocky,59063.54364111437,104644051.921875
 ,Yes, ,Yes,Yes, ,Cape Fear/Haw/Deep Rivers,Part of the sandhills region,Priority,Priority, , , , , ,Priority, , ,030300040705,Headwaters Locks Creek,Cape Fear,Cape Fear,Upper Cape Fear,54001.685549436086,110308694.15625
 , , , , , ,,, , , , , , , ,Priority, , ,030501020601,Hoyle Creek,Edisto-Santee,Santee,South Fork Catawba,48731.62640117308,71835862.0546875
 ,Yes,Yes,Yes,Yes,Yes,Onslow Bight,"Part of the Albemarle-Pamlico Estuary. Land/water interface, transition zone, important area for submerged aquatic vegetation. Seagrass beds in western Pamlico Sound, critical fish habitat development. An estuary of National significance designated by congress. Important for estuarine, marine, and freshwater habitats and species. Alligator River / Roanoke River NWF corridor:  Area to allow for the migration of habitats and species to adapt to sea level rise impacts on the Roanoke peninsula.  An area identified under the Southeast Natural Resources Leadership Group (SENRLG) process. An important area for coastal lands and estuarine waters.  The associated marine environment is characterized with shoals/sand, which can be spawning/nursing grounds. This area is threatened by sea level rise and development. Existing protected lands on coast (TNC).",Priority,Priority, ,Priority, , , ,Priority, , ,030203010604,Town of Marshallberg-Great Shoal,Neuse-Pamlico,Onslow Bay,White Oak River,58056.34590720242,144124701.6796875
 , , , , , ,,, , , ,Priority, , , ,Priority, , ,030203020101,Town of Richlands-Squires Run,Neuse-Pamlico,Onslow Bay,New River,32527.48347228428,43695479.8671875
Yes,Yes,Yes,Yes,Yes,Yes,Carolina Sandhills,Important sand hill habitat with unique species. Geological shoreline., ,Priority, , ,Priority, , ,Priority, , ,030402030101,Jackson Creek,Pee Dee,Lower Pee Dee,Lumber,36807.163573284706,71071668.0
 , , , , , ,,, ,Priority, ,Priority,Priority, , ,Priority, , ,030203020102,Headwaters New River,Neuse-Pamlico,Onslow Bay,New River,51854.42004375973,92023172.9140625
 , , , , , ,,, , , , , , , , , , ,030401050403,Little Bear Creek,Pee Dee,Upper Pee Dee,Rocky,37784.14055257714,32397209.5703125
Yes,Yes,Yes,Yes,Yes,Yes,Sandhills Region,"Part of the Fall Line Connectivity, High biodiversity and changing habitat. The fall line also establishes a north south axis that may be important under climate change scenarios that might involve northward migration. The selection represents the line between the physiographic provinces to find the fall line and selected HUCs running up the spine. There are unique community assemblages in the fall line (mussels). Important sand hill habitat with unique species. Geological shoreline.",Priority,Priority, ,Priority, , , ,Priority, , ,030300040303,Crystal Lake-Mill Creek,Cape Fear,Cape Fear,Upper Cape Fear,36642.93382958143,51835491.671875
 , , , , , ,,, , ,Priority,Priority,Priority, , ,Priority, , ,030300070303,Lower Limestone Creek,Cape Fear,Cape Fear,Northeast Cape Fear,42937.18831427797,70166734.875
Yes,Yes,Yes,Yes,Yes,Yes,Croatan Forest Management-Onslow Bight,"Diversity of rare reptiles with a risk of potential roadways coming through. Diversity of rare reptiles with a risk of potential roadways coming through. Part of the An important area for coastal lands and estuarine waters.  The associated marine environment is characterized with shoals/sand, which can be spawning/nursing grounds. This area is threatened by sea level rise and development. Existing protected lands on coast (TNC). Part of the Albemarle-Pamlico Estuary, an estuary of National significance designated by congress. Important for estuarine, marine, and freshwater habitats and species. Alligator River / Roanoke River NWF corridor:  Area to allow for the migration of habitats and species to adapt to sea level rise impacts on the Roanoke peninsula.  An area identified under the Southeast Natural Resources Leadership Group (SENRLG) process.",Priority,Priority, ,Priority,Priority, , ,Priority, , ,030203010202,Hunters Creek,Neuse-Pamlico,Onslow Bay,White Oak River,50715.64325905495,88087040.0859375
 ,Yes,Yes, , , ,Uwharrie Area,An important area for deciduous forest in the Pee Dee watershed that includes Uwharrie National Forest and State Game Land and extends south to include the Pee Dee National Wildlife Refuge.  Extends further south into South Carolina. Large area of deciduous forest types not represented elsewhere in the South Atlantic LCC.,Priority,Priority, ,Priority,Priority, , ,Priority, , ,030401040204,Clarks Creek,Pee Dee,Upper Pee Dee,Upper Pee Dee,52584.10489164481,85907744.25
 , , , , , ,,, , , , ,Priority, , ,Priority, , ,030300060302,Mill Swamp-Little Coharie Creek,Cape Fear,Cape Fear,Black,48340.46502159215,70318630.7265625
 ,Yes,Yes,Yes,Yes,Yes,Croatan Forest Management-Onslow Bight,"Diversity of rare reptiles with a risk of potential roadways coming through. Part of the An important area for coastal lands and estuarine waters.  The associated marine environment is characterized with shoals/sand, which can be spawning/nursing grounds. This area is threatened by sea level rise and development. Existing protected lands on coast (TNC). Part of the Albemarle-Pamlico Estuary, an estuary of National significance designated by congress. Important for estuarine, marine, and freshwater habitats and species. Alligator River / Roanoke River NWF corridor:  Area to allow for the migration of habitats and species to adapt to sea level rise impacts on the Roanoke peninsula.  An area identified under the Southeast Natural Resources Leadership Group (SENRLG) process.",Priority,Priority, ,Priority, , , ,Priority, , ,030203010404,Harlowe Creek,Neuse-Pamlico,Onslow Bay,White Oak River,23683.608183174398,32211195.234375
 ,Yes, ,Yes, , ,,, , , , ,Priority, , ,Priority, , ,030300060107,Jones Swamp-South River,Cape Fear,Cape Fear,Black,66214.30635157843,107146320.1796875
 , , , , , ,,,Priority,Priority, , , , , ,Priority, , ,030501050305,Upper Cove Creek,Edisto-Santee,Santee,Upper Broad,54193.021280221925,111093505.953125
Yes,Yes,Yes,Yes,Yes,Yes,Upper Pee Dee,"Identified as an area to protect ecosystem services provisioning cities such as Charlotte and Greensboro NC. Part of the Sandhills Region, an important sand hill habitat with unique species. Geological shoreline. Important longleaf pine habitat and potential corridor to connect Fort Bragg to the Uwharrie National Forest.", ,Priority, , ,Priority, , ,Priority, , ,030402030102,Headwaters Drowning Creek,Pee Dee,Lower Pee Dee,Lumber,51677.51064367945,95948320.6171875
Yes,Yes,Yes,Yes,Yes,Yes,Carolina Sandhills,Important sand hill habitat with unique species. Geological shoreline., ,Priority, , , , , ,Priority, , ,030300040301,Nicks Creek,Cape Fear,Cape Fear,Upper Cape Fear,45689.00605327333,71394972.859375
 , , , , , ,,, , , , , , , ,Priority, , ,030401050101,Clarke Creek,Pee Dee,Upper Pee Dee,Rocky,39015.01217792577,72934100.140625
 , , , , , ,NW of Charlotte,Shows up in draft combined landscape indicator. Needs attention., ,Priority, , , , , ,Priority, , ,030501050402,Cane Creek,Edisto-Santee,Santee,Upper Broad,56837.46531632891,65577430.53125
 , , , , , ,,, , ,Priority,Priority,Priority, , ,Priority, , ,030300070206,Dark Branch-Northeast Cape Fear River,Cape Fear,Cape Fear,Northeast Cape Fear,35216.12061056285,49289333.5
Yes,Yes, ,Yes,Yes,Yes,Fort Brag,"Part of the Sandhills region, this is an area of focus for several partners and has been identified as a region where there is potential to restore connected landscapes of over 100,000 acres of longleaf pine communities. Important area to provide connectivity and hosts longleaf pine habitat community.",Priority,Priority, ,Priority,Priority, , ,Priority, , ,030300040405,Tank Creek-Little River,Cape Fear,Cape Fear,Upper Cape Fear,39806.05716482603,54676122.1328125
 ,Yes,Yes,Yes,Yes,Yes,Onslow Bight,"Part of the Albemarle-Pamlico estuary, an estuary of National significance designated by congress. Important for estuarine, marine, and freshwater habitats and species. Alligator River / Roanoke River NWF corridor:  Area to allow for the migration of habitats and species to adapt to sea level rise impacts on the Roanoke peninsula.  An area identified under the Southeast Natural Resources Leadership Group (SENRLG) process. An important area for coastal lands and estuarine waters.  The associated marine environment is characterized with shoals/sand, which can be spawning/nursing grounds. This area is threatened by sea level rise and development. Existing protected lands on coast (TNC).",Priority,Priority, ,Priority, , , ,Priority, , ,030203010405,Core Creek,Neuse-Pamlico,Onslow Bay,White Oak River,27811.105529156062,32709708.1953125
Yes, ,Yes,Yes, , ,West Croatan Protection,"Part of the Onslow Bight Area. Diversity of rare reptiles. Onslow Bight Area contains large swamps (Croatan National Forest and Holly Shelter Game lands), Longleaf pine (Lejeune, Croatan), and coastal habitat of Onslow Beach, New River, and Cape Lookout National Seashore.",Priority,Priority, ,Priority,Priority, , ,Priority, , ,030203010106,Black Swamp Creek-White Oak River,Neuse-Pamlico,Onslow Bay,White Oak River,43567.811979835285,46588208.953125
 , , , , , ,,, , ,Priority, ,Priority, , ,Priority, , ,030300070103,Nahunga Creek,Cape Fear,Cape Fear,Northeast Cape Fear,41833.301970608605,59626564.1953125
 , , , , , ,,, , ,Priority,Priority,Priority, , ,Priority, , ,030300070302,Upper Limestone Creek,Cape Fear,Cape Fear,Northeast Cape Fear,45521.649542597435,83722082.6640625
Yes, ,Yes,Yes, , ,West Croatan Protection,"Part of the Onslow Bight Area. Diversity of rare reptiles. Onslow Bight Area contains large swamps (Croatan National Forest and Holly Shelter Game lands), Longleaf pine (Lejeune, Croatan), and coastal habitat of Onslow Beach, New River, and Cape Lookout National Seashore.", ,Priority, ,Priority,Priority, , ,Priority, , ,030203010101,Headwaters White Oak River,Neuse-Pamlico,Onslow Bay,White Oak River,33572.36522122677,70142737.796875
 , , , , , ,,, ,Priority, , , , , ,Priority, , ,030501050603,Wards Creek-First Broad River,Edisto-Santee,Santee,Upper Broad,69482.45811187729,100141622.734375
 , , , , , ,,, , , ,Priority,Priority, , ,Priority, , ,030300060503,Tenmile Swamp-Six Runs Creek,Cape Fear,Cape Fear,Black,59376.580742531776,79842087.3203125
 , , , , , ,,, ,Priority, , , , , ,Priority, , ,030501050605,Knob Creek,Edisto-Santee,Santee,Upper Broad,44029.159594112105,91039004.953125
 , , , , , ,,, , , , , , , ,Priority, , ,030501050801,Headwaters Buffalo Creek,Edisto-Santee,Santee,Upper Broad,50134.785792390816,90524499.875
 , , , , , ,NW of Charlotte,Shows up in draft combined landscape indicator. Needs attention.,Priority,Priority, , , , , ,Priority, , ,030501050404,Headwaters Second Broad River,Edisto-Santee,Santee,Upper Broad,97347.07196188174,117423019.8984375
Yes, ,Yes,Yes, , ,West Croatan Protection,"Part of the Onslow Bight Area. Diversity of rare reptiles. Onslow Bight Area contains large swamps (Croatan National Forest and Holly Shelter Game lands), Longleaf pine (Lejeune, Croatan), and coastal habitat of Onslow Beach, New River, and Cape Lookout National Seashore.",Priority,Priority, ,Priority,Priority, , ,Priority, , ,030203010102,Town of Maysville-White Oak River,Neuse-Pamlico,Onslow Bay,White Oak River,38536.66650852448,82112150.4296875
 , , , , , ,NW of Charlotte,Shows up in draft combined landscape indicator. Needs attention., ,Priority, , , , , ,Priority, , ,030501050602,Brier Creek-First Broad River,Edisto-Santee,Santee,Upper Broad,43733.77932441269,81329557.796875
Yes,Yes, ,Yes,Yes,Yes,Fort Brag,"Part of the Sandhills region, this is an area of focus for several partners and has been identified as a region where there is potential to restore connected landscapes of over 100,000 acres of longleaf pine communities. Important area to provide connectivity and hosts longleaf pine habitat community.",Priority,Priority, ,Priority,Priority, , ,Priority, , ,030300040403,Hector Creek-Little River,Cape Fear,Cape Fear,Upper Cape Fear,34289.45338514933,51216295.1875
 ,Yes, , ,Yes, ,Charlotte Water Supply/Upper Catawba,The area presents a rough estimate of the Charlotte water supply.  Additional GIS analysis is needed to refine this area, ,Priority,Priority, , , , ,Priority, , ,030501011401,McDowell Creek,Edisto-Santee,Santee,Upper Catawba,47190.20602275257,75474189.453125
 , , , , , ,,, , ,Priority, , , , ,Priority, , ,030501011302,Lower Leepers Creek,Edisto-Santee,Santee,Upper Catawba,55486.77086457379,79274422.140625
Yes,Yes,Yes,Yes,Yes,Yes,,,Priority,Priority, , ,Priority, , ,Priority, , ,030300040703,Carvers Creek,Cape Fear,Cape Fear,Upper Cape Fear,32607.768324368364,43875377.3125
 , , , , , ,,, , , ,Priority,Priority, , ,Priority, , ,030300060405,White Oak Swamp-Great Coharie Creek,Cape Fear,Cape Fear,Black,53427.81530210594,88522231.46875
 ,Yes,Yes,Yes,Yes,Yes,Onslow Bight,"Part of the Albemarle-Pamlico Estuary. Land/water interface, transition zone, important area for submerged aquatic vegetation. Seagrass beds in western Pamlico Sound, critical fish habitat development. An estuary of National significance designated by congress. Important for estuarine, marine, and freshwater habitats and species. Alligator River / Roanoke River NWF corridor:  Area to allow for the migration of habitats and species to adapt to sea level rise impacts on the Roanoke peninsula.  An area identified under the Southeast Natural Resources Leadership Group (SENRLG) process. An important area for coastal lands and estuarine waters.  The associated marine environment is characterized with shoals/sand, which can be spawning/nursing grounds. This area is threatened by sea level rise and development. Existing protected lands on coast (TNC).",Priority, , ,Priority,Priority, , ,Priority, , ,030203010501,Ward Creek,Neuse-Pamlico,Onslow Bay,White Oak River,32262.87186991874,44627684.4140625
 ,Yes,Yes,Yes,Yes,Yes,Onslow Bight,"Part of the Albemarle-Pamlico Estuary. Land/water interface, transition zone, important area for submerged aquatic vegetation. Seagrass beds in western Pamlico Sound, critical fish habitat development. An estuary of National significance designated by congress. Important for estuarine, marine, and freshwater habitats and species. Alligator River / Roanoke River NWF corridor:  Area to allow for the migration of habitats and species to adapt to sea level rise impacts on the Roanoke peninsula.  An area identified under the Southeast Natural Resources Leadership Group (SENRLG) process. An important area for coastal lands and estuarine waters.  The associated marine environment is characterized with shoals/sand, which can be spawning/nursing grounds. This area is threatened by sea level rise and development. Existing protected lands on coast (TNC).",Priority,Priority, ,Priority,Priority, , ,Priority, , ,030203010502,Headwaters North River,Neuse-Pamlico,Onslow Bay,White Oak River,37036.859563386584,75229221.0
 ,Yes,Yes, , , ,Uwharrie Area,An important area for deciduous forest in the Pee Dee watershed that includes Uwharrie National Forest and State Game Land and extends south to include the Pee Dee National Wildlife Refuge.  Extends further south into South Carolina. Large area of deciduous forest types not represented elsewhere in the South Atlantic LCC.,Priority,Priority, , ,Priority, , ,Priority, , ,030401040202,Wood Run-Lake Tillery,Pee Dee,Upper Pee Dee,Upper Pee Dee,39150.08532331897,46046001.3359375
 , , , , , ,,, , , ,Priority,Priority, , ,Priority, , ,030300060502,Mill Swamp-Six Runs Creek,Cape Fear,Cape Fear,Black,46736.14398114827,69706290.78125
 , , , ,Yes, ,,,Priority,Priority, , , , , ,Priority, , ,030300040706,City of Fayetteville-Cape Fear River,Cape Fear,Cape Fear,Upper Cape Fear,56393.623641657374,74872519.140625
 , , , , , ,,, ,Priority, , , , , ,Priority, , ,030401050304,Lower Dutch Buffalo Creek,Pee Dee,Upper Pee Dee,Rocky,53193.571378177934,96426468.3671875
 , , , , , ,,, , ,Priority, ,Priority, , ,Priority, , ,030300070102,Bear Swamp,Cape Fear,Cape Fear,Northeast Cape Fear,33374.161546666786,50217797.328125
 , , , , , ,NW of Charlotte,Shows up in draft combined landscape indicator. Needs attention., ,Priority, , , , , ,Priority, , ,030501050601,Headwaters First Broad River,Edisto-Santee,Santee,Upper Broad,49635.63800393262,84376441.2421875
Yes,Yes,Yes,Yes,Yes,Yes,Fort Brag,"This is an area of focus for several partners and has been identified as a region where there is potential to restore connected landscapes of over 100,000 acres of longleaf pine communities. Important sand hill habitat with unique species. Geological shoreline. Important area to provide connectivity and hosts longleaf pine habitat community.",Priority,Priority, ,Priority,Priority, , ,Priority, , ,030300040308,Flat Creek-Little River,Cape Fear,Cape Fear,Upper Cape Fear,82429.30706810435,104648897.4921875
Yes,Yes,Yes,Yes,Yes,Yes,Upper Pee Dee,"Part of the Uwharries area, identified as an area to protect ecosystem services provisioning cities such as Charlotte and Greensboro NC.",Priority,Priority, , ,Priority, , ,Priority, , ,030401040306,Eury Dam-Little River,Pee Dee,Upper Pee Dee,Upper Pee Dee,62663.7487001954,129228358.2109375
Yes,Yes,Yes,Yes,Yes,Yes,Sandhills Region,"Part of the Fall Line Connectivity, High biodiversity and changing habitat. The fall line also establishes a north south axis that may be important under climate change scenarios that might involve northward migration. The selection represents the line between the physiographic provinces to find the fall line and selected HUCs running up the spine. There are unique community assemblages in the fall line (mussels). Important sand hill habitat with unique species. Geological shoreline.", ,Priority, , , , , ,Priority, , ,030300040302,Thagards Lake-Little River,Cape Fear,Cape Fear,Upper Cape Fear,64572.42609672719,100387502.828125
 , , , , , ,,, ,Priority, , , , , ,Priority, , ,030501020501,Upper Indian Creek,Edisto-Santee,Santee,South Fork Catawba,41205.333887742025,69480394.65625
 ,Yes,Yes,Yes,Yes,Yes,Onslow Bight,"Part of the Albemarle-Pamlico Estuary. Land/water interface, transition zone, important area for submerged aquatic vegetation. Seagrass beds in western Pamlico Sound, critical fish habitat development. An estuary of National significance designated by congress. Important for estuarine, marine, and freshwater habitats and species. Alligator River / Roanoke River NWF corridor:  Area to allow for the migration of habitats and species to adapt to sea level rise impacts on the Roanoke peninsula.  An area identified under the Southeast Natural Resources Leadership Group (SENRLG) process. An important area for coastal lands and estuarine waters.  The associated marine environment is characterized with shoals/sand, which can be spawning/nursing grounds. This area is threatened by sea level rise and development. Existing protected lands on coast (TNC).",Priority, , ,Priority,Priority, , ,Priority, , ,030203010603,Smyrna Creek-Jarrett Bay,Neuse-Pamlico,Onslow Bay,White Oak River,29492.74008944604,51966827.578125
 ,Yes,Yes,Yes,Yes,Yes,Onslow Bight,"Part of the Albemarle-Pamlico Estuary. Land/water interface, transition zone, important area for submerged aquatic vegetation. Seagrass beds in western Pamlico Sound, critical fish habitat development. An estuary of National significance designated by congress. Important for estuarine, marine, and freshwater habitats and species. Alligator River / Roanoke River NWF corridor:  Area to allow for the migration of habitats and species to adapt to sea level rise impacts on the Roanoke peninsula.  An area identified under the Southeast Natural Resources Leadership Group (SENRLG) process. An important area for coastal lands and estuarine waters.  The associated marine environment is characterized with shoals/sand, which can be spawning/nursing grounds. This area is threatened by sea level rise and development. Existing protected lands on coast (TNC).",Priority,Priority, ,Priority,Priority, , ,Priority, , ,030203010602,Great Island-Horse Island,Neuse-Pamlico,Onslow Bay,White Oak River,39501.18696432384,68281803.0234375
 ,Yes, , ,Yes, ,Charlotte Water Supply/Upper Catawba,The area presents a rough estimate of the Charlotte water supply.  Additional GIS analysis is needed to refine this area, , ,Priority, , , , , , , ,030501011204,Catawba River-Lake Norman,Edisto-Santee,Santee,Upper Catawba,40388.8020895252,68380985.5390625
Yes,Yes, ,Yes,Yes,Yes,Fort Brag,"Part of the Sandhills region, this is an area of focus for several partners and has been identified as a region where there is potential to restore connected landscapes of over 100,000 acres of longleaf pine communities. Important area to provide connectivity and hosts longleaf pine habitat community.",Priority,Priority, ,Priority,Priority, , ,Priority, , ,030300040404,Muddy Creek,Cape Fear,Cape Fear,Upper Cape Fear,31643.11406997041,42349729.9140625
Yes, ,Yes,Yes, , ,West Croatan Protection,"Part of the Onslow Bight Area. Diversity of rare reptiles. Onslow Bight Area contains large swamps (Croatan National Forest and Holly Shelter Game lands), Longleaf pine (Lejeune, Croatan), and coastal habitat of Onslow Beach, New River, and Cape Lookout National Seashore.",Priority,Priority, ,Priority,Priority, , ,Priority, , ,030203010103,Black Swamp Creek,Neuse-Pamlico,Onslow Bay,White Oak River,49120.9678728295,90659244.4765625
 , , , , , ,,, ,Priority, , , , , ,Priority, , ,030501020402,Howards Creek,Edisto-Santee,Santee,South Fork Catawba,50072.465771169474,87715466.78125
 , , , , , ,,, ,Priority, , , , , ,Priority, , ,030401050105,Lower Coddle Creek,Pee Dee,Upper Pee Dee,Rocky,57834.42085474024,81681474.109375
Yes,Yes,Yes,Yes,Yes, ,Fort Brag,"This is an area of focus for several partners and has been identified as a region where there is potential to restore connected landscapes of over 100,000 acres of longleaf pine communities. Important sand hill habitat with unique species. Geological shoreline. Important area to provide connectivity and hosts longleaf pine habitat community.",Priority,Priority, ,Priority,Priority, , ,Priority, , ,030300040401,Buffalo Creek,Cape Fear,Cape Fear,Upper Cape Fear,35249.76007374273,52520128.796875
 ,Yes,Yes,Yes,Yes,Yes,Uwharrie Area,An important area for deciduous forest in the Pee Dee watershed that includes Uwharrie National Forest and State Game Land and extends south to include the Pee Dee National Wildlife Refuge.  Extends further south into South Carolina. Large area of deciduous forest types not represented elsewhere in the South Atlantic LCC.,Priority,Priority,Priority, ,Priority, , ,Priority, , ,030401040305,Rocky Creek,Pee Dee,Upper Pee Dee,Upper Pee Dee,51872.222118209414,76027234.7421875
 , , , , , ,,, , ,Priority,Priority,Priority, , ,Priority, , ,030300070105,Lower Goshen Swamp,Cape Fear,Cape Fear,Northeast Cape Fear,51649.615328694046,94181752.7734375
 ,Yes, ,Yes, , ,,, , , ,Priority,Priority, , ,Priority, , ,030300060105,Williamson Swamp-South River,Cape Fear,Cape Fear,Black,52401.423822307544,86913151.2265625
 , , , , , ,,, , ,Priority, , , , ,Priority, , ,030501011303,Upper Dutchmans Creek,Edisto-Santee,Santee,Upper Catawba,60364.04270577799,133935771.9453125
 , , , , , ,,, , , ,Priority,Priority, , ,Priority, , ,030300060501,Headwaters Six Runs Creek,Cape Fear,Cape Fear,Black,38653.532288105656,75359967.109375
 ,Yes,Yes,Yes, ,Yes,Pamlico Sound,"[Inland watersheds in the Pamlico and Neuse impact] important fisheries habitat (e.g. seagrasses, coastal wetlands, oyster reefs) and connect [freshwater, estuarine, and marine] areas. Opportunities include land and water management as it relates to water quality, development areas ... In many instances these changes could be linked to policy. Diadromous fish could serve as a demonstrative species for connectivity.", ,Priority, ,Priority,Priority, , ,Priority, , ,030202040102,Headwaters Tuckahoe Swamp,Neuse-Pamlico,Neuse,Lower Neuse,37090.06593509182,60320291.703125
 , , , , , ,,, , , , , , , ,Priority, , ,030501020303,Lower Clark Creek,Edisto-Santee,Santee,South Fork Catawba,40652.29162916861,66822795.7265625
 , ,Yes, , , ,Upper Pee Dee,Identified as an area to protect ecosystem services provisioning cities such as Charlotte and Greensboro NC., ,Priority, , , , , ,Priority, , ,030401050401,Little Long Creek,Pee Dee,Upper Pee Dee,Rocky,50995.62506286856,74932900.046875
 , , , , , ,,, , , ,Priority,Priority, , ,Priority, , ,030300060404,Marsh Swamp-Great Coharie Creek,Cape Fear,Cape Fear,Black,55238.11668028126,95411750.625
 ,Yes,Yes,Yes, ,Yes,Pamlico Sound,"[Inland watersheds in the Pamlico and Neuse impact] important fisheries habitat (e.g. seagrasses, coastal wetlands, oyster reefs) and connect [freshwater, estuarine, and marine] areas. Opportunities include land and water management as it relates to water quality, development areas ... In many instances these changes could be linked to policy. Diadromous fish could serve as a demonstrative species for connectivity.",Priority,Priority, ,Priority,Priority, , ,Priority, , ,030202040103,Outlet Tuckahoe Swamp,Neuse-Pamlico,Neuse,Lower Neuse,47337.40616035794,86348382.875
 ,Yes, ,Yes, , ,,,Priority,Priority, , , , , ,Priority, , ,030300040702,Town of Lane,Cape Fear,Cape Fear,Upper Cape Fear,30373.49930275116,46026035.0
Yes,Yes,Yes,Yes, ,Yes,Croatan Forest Management,Diversity of rare reptiles with a risk of potential roadways coming through. Part of the Albemarle-Pamlico Estuary and Pamlico Sound,Priority,Priority, ,Priority,Priority, , ,Priority, , ,030202040504,Cherry Point-Hancock Creek,Neuse-Pamlico,Neuse,Lower Neuse,41528.31393102915,73476930.09375
 , , , , , ,,, , ,Priority,Priority,Priority, , ,Priority, , ,030300070205,Burn Coat Creek-Northeast Cape Fear River,Cape Fear,Cape Fear,Northeast Cape Fear,40523.55017907949,61119701.1953125
Yes,Yes,Yes,Yes, ,Yes,Potential Pocosin,Contributes to the Pamlico Sound. A potential for pocosin habitat threatened by hog farms.,Priority,Priority, ,Priority,Priority, , ,Priority, , ,030202040105,Town of Comfort-Trent River,Neuse-Pamlico,Neuse,Lower Neuse,54962.73798610657,142170646.859375
 ,Yes, , , , ,Albemarle-Pamlico Estuary,"Land/water interface, transition zone, important area for submerged aquatic vegetation. Seagrass beds in western Pamlico Sound, critical fish habitat development.  An estuary of National significance designated by congress. Important for estuarine, marine, and freshwater habitats and species. Alligator River / Roanoke River NWF corridor:  Area to allow for the migration of habitats and species to adapt to sea level rise impacts on the Roanoke peninsula.  An area identified under the Southeast Natural Resources Leadership Group (SENRLG) process.",Priority,Priority, ,Priority,Priority, , ,Priority, , ,030203010601,Oyster Creek,Neuse-Pamlico,Onslow Bay,White Oak River,26301.430632064257,38315120.9609375
 , ,Yes, , , ,Upper Pee Dee,Identified as an area to protect ecosystem services provisioning cities such as Charlotte and Greensboro NC.,Priority,Priority,Priority, , , , ,Priority, , ,030401040201,Mountain Creek,Pee Dee,Upper Pee Dee,Upper Pee Dee,58502.81556216472,84109093.703125
